"","X","ASR","num_gaps","scaffold_count","scaffold_N50","contig_count","contig_N50","gap_length","gap_length_per","CDSs","CDSs_model","CDSs_known","CDSs_fully_supported","CDSs_ab_initio","CDSs_model_per","CDSs_known_per","CDSs_fully_supported_per","CDSs_ab_initio_per","Length_mean_genes","Length_mean_transcripts","Length_mean_cds","Length_mean_exons","Length_mean_introns","Num_proteins","Num_transcripts","Num_proteins_hsapiens","Num_transcripts_hsapiens","Num_rnaseq_reads","Num_tissues","Num_runs","ASR_predicho","ASR_normalizado_division","ASR_normalizado_resta","ASR_normalizado_resta_min"
"127",126,3.12223954419733,1084,993,105087932,992,3290841,216617,8.17024167723639e-05,51862,51753,0,50082,1073,0.99789826848174,0,0.965678145848598,0.0206895221935136,47433.9,3696.27,2042.93,368.209,7332.45,284280,7,216116,0,355304102,3,6,2.72633124126385,1.1452165081562,0.395908302933483,2.70619357262281
"128",127,1.77566565988301,966,439,110192646,439,3726689,193200,7.68890006094735e-05,30676,30647,0,27677,1663,0.999054635545704,0,0.902236275916026,0.0542117616377624,40535,1898.94,1867.19,200.097,5325.03,272868,102587,219210,0,0,0,0,1.75050849741934,1.0143713455266,0.0251571624636695,2.335442432153
"129",128,2.57224240381201,682,267,114544513,267,5780196,136400,5.13521630671825e-05,46236,46177,0,43394,1490,0.998723938056925,0,0.938532745047149,0.0322259711047668,39495.7,3170.14,2027.79,313.952,6058.57,91808,24,67670,0,543482318,3,7,2.11448344453184,1.21648736974695,0.457758959280178,2.76804422896951
"130",129,1.84525444843282,65045,187695,3898092,250219,27076,35294427,0.0316407244388185,29710,29572,88,26495,1533,0.995355099293167,0.00296196566812521,0.891787277011107,0.0515987882867721,19249.2,2936.12,1682.9,352.31,2692.06,144139,1132893,54875,0,11398731965,23,664,1.70466157526739,1.08247553368086,0.140592873165432,2.45087814285476
"131",130,1.87173532015351,9415,21836,6542656,30842,410964,16017717,0.0143227154750967,26468,26443,8,22471,2204,0.999055463200846,0.000302251775729182,0.848987456551307,0.0832703642133897,31393.5,2939.19,1941.66,253.362,3257.25,102473,8,42153,0,535397672,18,82,1.63063541934064,1.1478564110366,0.241099900812874,2.55138517050221
"132",131,3.08323696412455,22369,1675,71365269,24043,148693,17999934,0.0176416191486851,38630,38616,3,37306,653,0.999637587367331,7.76598498576236e-05,0.965726119596169,0.0169039606523427,30004.4,3996.89,2203.5,370.672,3573.48,127733,1197120,56907,0,5442066666,14,83,2.72776857365507,1.13031471727573,0.355468390469483,2.66575366015881
"133",132,3.1706115764091,7630,2531,2975000,9641,511217,10393733,0.0112042850771182,40934,40817,77,39977,462,0.997141740362535,0.00188107685542581,0.976620901939708,0.0112864611325548,27681.5,4003.03,2260.73,366.171,3454.68,120830,1183804,56519,0,8702314571,47,215,3.09284598400602,1.02514370026999,0.077765592403086,2.38805086209242
"134",133,3.21910004378401,13548,2739,7868035,2738,234926,20119848,0.019285478179232,43258,43227,0,42256,503,0.999283369550141,0,0.976836654491655,0.0116279069767442,30059.6,4192.89,2167.72,409.339,3941.53,130184,1132347,47696,0,4019323470,6,54,3.10089131531187,1.03812088733599,0.118208728472141,2.42849399816147
"135",134,2.10502590276656,425,159,74081004,159,14522327,16096776,0.015190119408617,29231,29214,0,27549,890,0.999418425644008,0,0.942458349013034,0.0304471280489891,32197.2,3053.72,1948.92,258.669,3391.6,126294,837602,54069,0,706878525,3,14,2.18079784746472,0.965254943374855,-0.0757719446981562,2.23451332499118
"136",135,3.09302811836916,352,199,70982421,198,8964551,3634788,0.00344115013894982,41237,40277,937,40227,598,0.976719935979824,0.0227223124863593,0.97550743264544,0.0145015398792347,28195.2,4208.62,2282.28,391.042,3644.55,145786,976757,62336,0,9313053936,56,554,3.05184970384015,1.01349293658767,0.0411784145290097,2.35146368421834
"137",136,3.27597162620838,367,89,83240647,89,9454087,10544060,0.00917994300605962,43644,43613,0,42472,706,0.999289707634497,0,0.973146366052608,0.0161763358079003,33313.9,4032.74,2240.46,340.342,3949.03,139442,9467065,56763,0,1016490837,6,9,2.96778194993579,1.10384512119539,0.308189676272586,2.61847494596192
"138",137,2.22177935112889,31356,2015,71975342,2014,100423,31251516,0.0294750598603767,29150,29134,0,26842,1361,0.999451114922813,0,0.92082332761578,0.0466895368782161,31300,3459.47,2136.55,282.32,3856.89,0,0,0,0,0,0,0,1.88818170592386,1.17667666419943,0.333597645205026,2.64388291489436
"139",138,3.29137353843437,289,105,74699841,105,11524098,28870195,0.0259452776325195,43081,43047,0,42149,540,0.9992107889789,0,0.978366333186323,0.0125345279821731,31705,4191.04,2293.55,379.43,4008.12,161059,1183713,56019,0,5428994601,14,163,3.15889003674094,1.0419398903262,0.132483501693429,2.44276877138276
"140",139,3.53963056006339,451,171,81481363,170,8308965,9922725,0.00874875847814826,47851,47794,0,46809,471,0.99880880232388,0,0.97822407055234,0.00984305448162003,30754.2,3878.95,2219.6,362.147,4187.7,94411,1145703,61693,0,2368651928,5,39,3.15342480141524,1.12247184663317,0.386205758648155,2.69649102833749
"141",140,1.99105014179976,413,190,72978054,189,7345957,11925354,0.01117857464204,28430,28417,0,27034,781,0.999542736545902,0,0.950896939852269,0.0274709813577207,31707.5,3161.18,2001.63,278.876,3502.24,185303,7,67671,0,3188034974,18,40,2.34680182731064,0.848410001487617,-0.355751685510878,1.95453358417845
"142",141,2.13018521595426,163,105,85905639,104,17816505,9417397,0.00835612911915698,27809,27761,0,25088,1332,0.998273940091337,0,0.902153978927685,0.0478981624653889,32543.8,3169.26,2180.33,247.453,3572.64,88653,1132420,56256,0,370432514,3,48,1.75007246494453,1.21719829242715,0.38011275100973,2.69039802069906
