"","X","ASR","num_gaps","scaffold_count","scaffold_N50","contig_count","contig_N50","gap_length","gap_length_per","CDSs","CDSs_model","CDSs_known","CDSs_fully_supported","CDSs_ab_initio","CDSs_model_per","CDSs_known_per","CDSs_fully_supported_per","CDSs_ab_initio_per","Length_mean_genes","Length_mean_transcripts","Length_mean_cds","Length_mean_exons","Length_mean_introns","Num_proteins","Num_transcripts","Num_proteins_hsapiens","Num_transcripts_hsapiens","Num_rnaseq_reads","Num_tissues","Num_runs","ASR_predicho","ASR_normalizado_division","ASR_normalizado_resta","ASR_normalizado_resta_min"
"159",158,2.90141146974705,256,110,115508478,109,25561769,1747529,0.00158811661583707,36363,36344,0,35014,730,0.99947749085609,0,0.962901850782389,0.0200753513186481,37015.2,3782.13,2204.75,304.496,4231.31,0,0,0,0,0,0,0,2.64554326261576,1.09671669737818,0.255868207131285,2.56615347682062
"160",159,1.83806492041901,106,441,36435137,515,22833505,51600,4.34143472902896e-05,27581,27550,0,25507,1162,0.998876037852145,0,0.924803306624125,0.0421304521228382,29167.5,3019.72,1960.04,256.28,3056.91,164060,9,66907,0,508738094,2,29,1.9297065919775,0.952510048968337,-0.0916416715584887,2.21864359813084
"161",160,2.52843010422819,378,538,63498583,538,7918915,75600,6.75031543862421e-05,36147,36123,0,35141,598,0.99933604448502,0,0.972169197997068,0.016543558248264,31813.7,3927.33,2108.09,361.794,3823.18,166586,0,67643,0,3334087350,2,46,2.93410641336864,0.86173769727912,-0.40567630914045,1.90460896054888
"162",161,2.6608922444993,1054,685,72083177,684,12206373,527000,0.000501736141289461,36106,36091,1,34921,661,0.999584556583393,2.76962277737772e-05,0.967179970088074,0.0183072065584667,33153.9,3724.08,2104.06,325.021,3754.67,0,0,0,0,0,0,0,2.77200611246447,0.959915720435992,-0.111113867965163,2.19917140172417
"163",162,3.35518897077036,210,165,71229700,164,17905263,71937,7.00613313487833e-05,43848,43798,0,42928,483,0.998859697135559,0,0.979018427294289,0.0110153256704981,33605.4,4389.64,2294.01,394.005,4264.74,100538,1,65282,0,872647190,8,8,3.18412991576418,1.05372238555949,0.171059055006177,2.48134432469551
"164",163,3.13550056215886,258,283,92426045,282,21245687,3961655,0.00302558447699611,42980,42958,4,41895,640,0.999488134015821,9.30665425779432e-05,0.974755700325733,0.0148906468124709,34521.9,4229.85,2183.75,389.984,4174.98,141779,1497106,66927,0,4910971389,9,67,3.02466470665461,1.03664401388372,0.110835855504247,2.42112112519358
"165",164,3.06557413652184,232,125,93682670,124,15744644,4014385,0.00306068046068649,42014,41966,24,40938,586,0.998857523682582,0.000571238158709002,0.97438948921788,0.0139477317084781,34512,4182.24,2171.77,385.132,4164.02,141779,1497107,66927,0,4910971389,9,65,3.01156387903399,1.01793428917907,0.0540102574878443,2.36429552717718
"166",165,3.0705121810679,158,397,91472507,397,24892811,2152808,0.00167469538982833,41530,41502,0,40451,627,0.999325788586564,0,0.97401878160366,0.0150975198651577,34943.7,4196.92,2176.1,387.661,4185.88,139580,812824,66932,0,4910971389,9,67,2.99839669511711,1.0240513491988,0.0721154859507904,2.38240075564012
"167",166,2.37403347577702,338,224,61801348,483,7488902,33800,3.00907270586016e-05,35701,35662,0,34345,804,0.998907593624828,0,0.962017870647881,0.0225203775804599,28203.5,3085.53,1988.61,279.084,3346.49,165505,0,66910,0,465526550,5,6,2.62079080577312,0.905846231811963,-0.2467573299961,2.06352793969323
"168",167,3.35250032852977,342,322,58111031,322,16799191,2651394,0.00196189259416435,44852,44808,0,43588,768,0.999018995808437,0,0.971818425042362,0.0171229822527424,33772.7,4043.65,2333.13,334.241,4227.32,0,0,0,0,0,0,0,2.92217501167129,1.14726199325494,0.430325316858481,2.74061058654781
"169",168,2.46036154352159,458,177,72553174,177,15819291,165531,0.000153206944947977,37915,37887,0,36707,674,0.999261506000264,0,0.968139258868522,0.0177766055650798,27850.6,3146.17,1984.74,290.642,3319.03,165505,0,66910,0,465526550,5,6,2.80192301464709,0.878097481858002,-0.341561471125499,1.96872379856383
"170",169,2.70990255476136,295,184,77212160,183,16787335,11207145,0.00976034030054342,37953,37888,0,36366,879,0.998287355413274,0,0.958185123705636,0.0231602244881828,29543.1,3877.65,2181.26,336.776,3522.94,143668,381,67289,0,9675842991,43,97,2.51870941560093,1.07590916918648,0.191193139160431,2.50147840884976
"171",170,1.90507658887063,215,77,74723840,77,12036358,5092979,0.00429619270086048,28320,28293,0,26720,1061,0.999046610169491,0,0.943502824858757,0.0374646892655367,31210,3265.26,1953.82,282.542,3369.92,151358,0,67210,0,215850432,12,12,2.19956279770537,0.866116025811149,-0.294486208834743,2.01579906085459
"172",171,1.45694398737598,556,896,38137700,1452,8710530,55478,4.83541745275902e-05,20199,20192,0,17126,1591,0.999653448190505,0,0.847863755631467,0.0787662755581959,32234.6,2146.86,1929.36,186.068,3246.66,143125,0,66907,0,99887570,1,1,1.62954897126826,0.894078062742755,-0.172604983892286,2.13768028579705
"173",172,1.60350531173322,363,282,78443464,282,8252193,2919107,0.00235182422057881,25936,25889,0,23838,1325,0.99818784700802,0,0.919108574953732,0.0510872917951882,30258.6,3049.6,1857.45,268.579,3089.24,151262,0,67119,0,215850432,12,12,1.87176038454554,0.856683005459883,-0.268255072812321,2.04203019687701
"174",173,2.11345626627874,236,40,74254230,40,10446106,1233091,0.00106116579957646,27651,27639,0,25999,1020,0.999566019312141,0,0.940255325304691,0.0368883584680482,33005.3,3567.06,2164.11,281.843,3643.58,148718,1,67084,0,271249550,1,7,2.14277775891683,0.986316129838445,-0.0293214926380858,2.28096377705125
"175",174,2.44816098189195,128,180,82467789,179,19335416,1451673,0.00114393523375129,34972,34921,13,32465,1269,0.998541690495253,0.000371725952190324,0.928314079835297,0.0362861717945785,31850.5,3258.53,2128.37,268.516,3619.38,151620,0,67609,0,523347186,1,1,1.97054162803841,1.24237973309348,0.477619353853534,2.78790462354287
"176",175,3.37947070546045,283,716,88208671,716,15653959,786373,0.000580940264169242,44471,44382,0,43102,631,0.997998695779272,0,0.969215893503632,0.0141890220593196,34363.8,4318.26,2324.5,364.189,4120.84,156333,0,66908,0,1251456389,3,12,2.83619938469886,1.19154905811365,0.54327132076159,2.85355659045092
"177",176,2.72433730075259,339,3792,71969017,3792,14729340,26361,2.34529303748779e-05,37405,37395,0,35791,944,0.999732656062024,0,0.95685068841064,0.0252372677449539,31152.1,3654.29,2180.76,297.712,3911.46,144114,1,67662,0,455701982,3,4,2.48511095237907,1.09626385016915,0.239226348373526,2.54951161806286
"178",177,3.44918085096434,261,930,82903739,929,28324902,4676170,0.00371762507806302,49200,49146,0,47797,752,0.99890243902439,0,0.971483739837398,0.0152845528455285,33398,4051.24,2242.53,337.849,4194.96,155634,5,66907,0,554782398,10,12,2.91086763759238,1.18493221966534,0.538313213371968,2.8485984830613
"179",178,2.501277551732,158,191,89023854,190,21931325,5847725,0.00482293697301369,34021,33987,0,32124,1143,0.999000617265806,0,0.944240322153964,0.033596896034802,33345.9,3501.75,2115.54,282.274,3633.12,144031,0,67629,0,325125004,1,1,2.21310524369688,1.13021175059607,0.288172308035123,2.59845757772445
"180",179,2.34951161184107,582,587,69618406,587,7795761,58200,5.61636847939801e-05,34789,34710,0,33508,719,0.997729167265515,0,0.963178016039553,0.0206674523556297,30545.8,3583.03,2020.12,317.215,3410.64,140127,0,66941,0,2223252858,3,45,2.65337122899647,0.885481679368958,-0.303859617155399,2.00642565253393
"181",180,2.51185810719264,403,307,107919339,306,8462732,958948,0.000766463284023818,39752,39666,0,38012,1091,0.997836586838398,0,0.956228617428054,0.0274451599919501,30550.5,3487.48,2050.25,302.522,3469.08,140719,1497151,67119,0,1921591425,8,37,2.46978205721062,1.01703634126711,0.0420760499820161,2.35236131967135
"182",181,1.51940623241592,249,1185,50637386,1185,13765203,49800,3.76910045581367e-05,24098,24081,0,20842,1648,0.999294547265333,0,0.864885052701469,0.0683874180429911,30601.7,2451.52,1888.69,213.048,3212.87,151415,0,67352,0,85829646,1,1,1.64692016390478,0.922574309135588,-0.127513931488857,2.18277133820047
"183",182,3.0813950366699,430,1370,72455167,1370,12312023,86000,7.17717000040816e-05,41503,41479,0,39956,950,0.999421728549743,0,0.962725586102209,0.0228899115726574,28006.3,3406.98,2280.14,320.383,4368.37,159338,813151,67671,0,10143126414,24,168,2.64057072892758,1.16694281388227,0.440824307742325,2.75110957743166
"184",183,2.62468352054799,299,353,77460261,353,19453098,1079098,0.000700146871893697,35801,35701,0,33678,1248,0.997206781933466,0,0.940699980447473,0.03485936147035,30318.7,3761.6,2256.27,308.133,3813.2,151933,0,67643,0,3292291718,11,17,2.15028386621536,1.22062187313325,0.474399654332634,2.78468492402197
"185",184,2.2998037622575,117,806,79699707,806,25101800,20400,1.58651822972946e-05,32097,32079,0,30297,1098,0.999439199925227,0,0.943919992522666,0.0342088045611739,31079.9,3482.81,2229.49,274.333,3441.44,174463,0,67669,0,349093434,1,2,2.20719313463147,1.04195855186977,0.0926106276260334,2.40289589731536
"186",185,4.3607624003219,249,869,68980706,869,14042120,46900,3.53811119778955e-05,59506,59427,65,58533,603,0.998672402782913,0.0010923268241858,0.983648707693342,0.0101334319228313,33022.2,4870.72,2318.79,469.412,4626.19,147382,1497425,67666,0,9137333699,31,219,3.3724581011926,1.29305161679542,0.988304299129305,3.29858956881864
"187",186,3.30160017662232,323,696,75011098,696,10447158,64600,5.54410333473293e-05,44671,44648,0,43137,918,0.999485124577466,0,0.9656600479058,0.0205502451254729,29585,4112.13,2313.01,392.469,4277.14,220013,813117,67661,0,8005133502,49,248,2.72578938155382,1.2112455199089,0.575810795068504,2.88609606475783
"188",187,2.93791693145291,129,271,77929039,271,24239989,25800,1.75664823781526e-05,44615,44589,0,42810,925,0.999417236355486,0,0.95954275467892,0.0207329373529082,32981.2,4101.27,2189.94,372.462,4401.19,144192,59,67654,0,3711442474,28,104,2.55390971412276,1.15036052966424,0.384007217330151,2.69429248701948
"189",188,3.44800451274438,202,335,83066519,334,20590000,40400,3.08366097243887e-05,51201,51124,0,49224,1308,0.998496123122595,0,0.96138747290092,0.0255463760473428,24988.1,3854.43,2199.1,398.072,4189.58,153372,813117,67654,0,2836592644,8,40,2.6034197656604,1.324413587937,0.844584747083982,3.15487001677331
"190",189,2.09264616711757,170,408,88095958,408,19797665,34000,2.26004299443309e-05,34098,34070,1,31477,1333,0.999178837468473,2.93272332688134e-05,0.92313332160244,0.0390932019473283,31416.8,2976.65,1949.68,272.66,3743,150247,2,67673,0,572793876,2,2,1.91168664700503,1.09465961400946,0.180959520112538,2.49124478980187
"191",190,2.31376597306968,219,452,71505812,452,17514312,8369264,0.00593547502473766,33678,33661,0,32211,968,0.999495219431083,0,0.956440406199893,0.0287427994536493,32324.3,3565.5,2126.71,295.228,3662.4,161453,0,67670,0,183076100,7,9,2.4749772745467,0.934863522532123,-0.16121130147702,2.14907396821231
"192",191,1.7945532627474,67,528,70606200,527,25845000,13400,1.13830533602127e-05,27701,27678,0,26175,944,0.999169705064799,0,0.94491173603841,0.034078192123028,31091.8,3228.88,1919.82,285.546,3395.58,172653,0,67671,0,533370620,1,14,2.22564764456563,0.80630609572417,-0.431094381818221,1.87919088787111
"193",192,2.80930053232509,186,367,126105786,367,19972387,2209747,0.00178061316152374,41300,41289,0,40132,751,0.999733656174334,0,0.971719128329298,0.01818401937046,31531.1,3393.56,2054.18,307.26,4047.15,162957,0,67669,0,1724348422,5,5,2.9188124515255,0.962480659165623,-0.109511919200408,2.20077335048892
"194",193,3.60695927540262,42,75,81007908,74,39655246,6700,5.51279475849069e-06,53386,53341,2,51975,750,0.999157082381149,3.74630052822837e-05,0.973569849773349,0.0140486269808564,31004.2,4506.48,2260.67,430.842,4386.63,150234,441,67672,0,7432683830,20,152,2.98257771534002,1.20934293073111,0.624381560062593,2.93466682975192
"195",194,4.00664084596715,116,262,84633522,262,28829471,23200,1.59777531385061e-05,60516,60486,0,59169,816,0.999504263335316,0,0.977741423755701,0.0134840372793972,35035.9,4125.9,2200.47,362.801,4785.77,150274,0,67678,0,1531416368,10,31,3.13499248637045,1.27803842062979,0.871648359596696,3.18193362928603
"196",195,2.78532257221831,139,660,68049500,659,17285536,47500,3.56897219545551e-05,41881,41835,0,40268,1044,0.998901649912848,0,0.961486115422268,0.0249277715431819,27749.6,3458.99,2124.44,311.996,3911.9,174930,18,67679,0,736273566,4,12,2.6061225984504,1.06876114495706,0.179199973767906,2.48948524345724
"197",196,3.75942379912559,228,144,46934974,144,21924221,5201260,0.00421596793132438,52443,52413,0,51353,661,0.99942795034609,0,0.979215529241271,0.0126041607078161,33613,4089.23,2226.74,350.378,4290.84,211979,808825,62014,0,1436590910,11,19,3.19182014032779,1.1778307153421,0.567603658797804,2.87788892848714
"198",197,2.25016188198999,185,1345,70356807,1527,16035651,92500,8.79603799214398e-05,28914,28897,0,27003,1117,0.999412049526181,0,0.933907449678356,0.0386318046621014,32601.1,3749.89,2222.12,287.335,3448.61,136855,807692,54125,0,370675256,5,5,2.04444743055491,1.10062105210465,0.205714451435075,2.51599972112441
"199",198,3.15298700772152,183,454,35025567,454,17712854,36600,2.6180044081572e-05,44840,44814,0,43614,714,0.999420160570919,0,0.972658340767172,0.0159232827832293,37533.8,3988.04,2224.29,335.89,4359.89,0,0,0,0,0,0,0,2.95088265444075,1.0684894578836,0.202104353280771,2.5123896229701
"200",199,1.819647011339,658,277,74357285,277,3563180,131600,0.000112398221926065,28221,28172,0,25908,1327,0.998263704333652,0,0.918039757627299,0.0470217214131321,27835,2760.08,1911.33,235.241,2831.89,163827,0,67639,0,122496604,2,2,1.86195236655225,0.977279034644914,-0.0423053552132537,2.26797991447608
"201",200,2.73770423826219,493,350,84621172,350,4631399,98600,7.68137734643203e-05,40038,40007,9,38566,864,0.999225735551226,0.000224786452869774,0.963234926819521,0.0215794994754983,33875.2,3861.09,2129.9,345.557,4110.7,142928,25,67654,0,5428361406,5,86,2.65499003112814,1.03115424395733,0.0827142071340448,2.39299947682338
"202",201,2.95089250048328,462,728,83755488,728,4003687,92400,6.51826879180016e-05,41162,40997,0,39807,672,0.995991448423303,0,0.967081288567125,0.0163257373305476,35242.2,4107.8,2217.98,345.317,4214.3,156690,2,67643,0,618226508,8,8,2.76896159847569,1.065703656601,0.181930902007597,2.49221617169693
"203",202,3.60019531132575,631,394,76435830,394,3416933,125881,0.00010584488253997,47868,47842,0,46871,512,0.99945683964235,0,0.979171889362413,0.0106960808891117,30506.3,4260.06,2367.2,400.561,4488.53,150268,0,67675,0,9399682530,18,160,3.19011500822893,1.12854718467485,0.410080303096821,2.72036557278615
"204",203,2.50202249421105,229,2310,409777670,2309,11758062,22935,1.79357348800871e-05,28304,28304,0,27463,575,1,0,0.970286885245902,0.0203151498021481,36582.8,2946.55,2143.99,480.729,12329.4,122104,376546,0,0,9274192723,31,126,2.87104055579506,0.871468878821944,-0.369018061584007,1.94126720810532
"205",204,1.53202706279279,20192,19962,117344,25367,62489,2370020,0.00380017895741521,34029,34029,0,26764,5392,1,0,0.786505627552969,0.158453084134121,8200.38,1944.14,1714.84,390.075,2158.28,193558,228095,0,0,767640744,7,17,1.49368427639675,1.02566994042981,0.0383427863960424,2.34862805608537
"206",205,3.12853020167906,51,177,13619445,227,5382476,1313614,0.00583178177449461,23471,22939,532,23077,162,0.977333730987176,0.0226662690128243,0.983213327084487,0.00690213454901794,15013.5,3508.42,2445.65,400.509,2836.01,156857,8862482,0,0,8914467727,37,170,3.35405621025146,0.932760217946529,-0.2255260085724,2.08475926111693
"207",206,2.29153473742144,118,104,35263383,104,11978448,5727,1.99480313205339e-05,32149,32149,0,30787,952,1,0,0.957634763134157,0.029612118572895,6066.18,2673.71,2089.68,490.849,1729.7,135434,2097157,0,0,5415195640,18,115,2.50473332911381,0.914881720455326,-0.213198591692373,2.09708667799696
"208",207,1.83512023404699,945,1031,14205900,1031,621965,945000,0.00256646179394283,23658,23658,0,22015,953,1,0,0.930552033138896,0.0402823569194353,13059.1,2869.17,1910.3,360.569,2143.84,174251,2750168,0,0,4835031946,24,129,1.99876079540354,0.918128991856921,-0.16364056135655,2.14664470833278
"209",208,2.41940425929142,396,139,16888278,139,3735272,39600,0.000176883264616493,24215,24215,0,22992,836,1,0,0.94949411521784,0.0345240553376007,12123,3672.16,2089.02,487.517,2003.58,202891,0,0,0,4135960715,8,126,2.31685582712444,1.04426189621573,0.102548432166985,2.41283370185632
"210",209,1.82621430360256,469,220,93298903,220,9046396,46900,0.000143854813011671,19503,19503,0,17919,1072,1,0,0.918781725888325,0.0549659026816387,13341.9,2327.96,1821.67,269.774,2032.46,193097,10262163,0,0,376084102,1,1,1.86872669249035,0.977250611842471,-0.0425123888877987,2.26777288080153
"211",210,1.61789745042427,198,363,29570363,363,3071820,14120,8.40586112120817e-05,19534,19534,0,18135,755,1,0,0.928381283915225,0.0386505580014334,6490.49,2235.59,1857,451.455,1587.99,135771,2097155,0,0,967706053,6,76,1.97136365404581,0.820699644687003,-0.353466203621543,1.95681906606779
"212",211,2.12506828154599,28,353,24228064,352,22120385,2800,1.83831656528198e-05,23239,23226,13,22893,125,0.999440595550583,0.000559404449416928,0.985111235423211,0.00537888893670123,5582.71,2675.7,2098.3,485.277,1412,135417,2097168,0,0,1130051110,16,24,3.43535355123532,0.618587941489118,-1.31028526968933,1
"213",212,1.44686346985841,10882,459,15806032,459,44438,3983973,0.0208429419999459,21516,21516,0,20424,644,1,0,0.949247071946458,0.0299312139802937,6503.91,2318.85,1758.07,458.688,1271.58,168324,1142965,0,0,8604502153,4,249,2.31168265660165,0.625891908530996,-0.864819186743242,1.44546608294609
"214",213,2.18310129690688,24,32,24182865,31,11370518,12000,9.50509979099315e-05,22475,22475,0,21563,503,1,0,0.959421579532814,0.0223804226918799,6170.23,2715.42,2192.66,472.088,1491.14,136248,2097210,0,0,2282067778,9,47,2.55072568273391,0.855874589605809,-0.36762438582703,1.9426608838623
"215",214,3.12278057676879,8,444,7180486,444,7180486,800,2.69079690816134e-06,34173,33092,1081,33128,910,0.96836683931759,0.0316331606824101,0.969420302578059,0.0266292101951833,15100.7,3642.29,2084.41,445.521,3254.42,152684,36368568,0,0,8039405296,20,371,2.84279150396045,1.09849089263784,0.279989072808337,2.59027434249767
"216",215,2.27228593616938,8,219,35291776,219,25786103,400,2.38769172612407e-06,24248,24248,0,23199,660,1,0,0.956738700098977,0.0272187396898713,7484.33,2834.71,2214.89,481.638,2035.49,150058,1,0,0,1339889472,22,26,2.48233581782665,0.915382165398889,-0.21004988165727,2.10023538803206
"217",216,2.60374416792767,2,70,32422566,69,30706867,8000,4.899469950231e-05,26574,26574,0,26163,268,1,0,0.984533754797923,0.010085045533228,6209.78,2942.22,2346,495.467,1679,135417,2132515,0,0,8871545847,98,290,3.4103193288953,0.763489842686109,-0.80657516096763,1.5037101087217
"218",217,2.03939789221703,136304,5520,150973230,5520,19588,12966247,0.00842682967880284,25246,25246,0,21527,3050,1,0,0.852689534975838,0.120811217618633,42564.2,2504.21,1798.89,344.629,9429.21,0,0,0,0,0,0,0,1.63417981496805,1.24796419190681,0.405218077248972,2.7155033469383
"219",218,1.7779490080175,229,94,22692164,94,1002992,1140028,0.00962110958679345,19109,19107,2,17556,785,0.999895337275629,0.000104662724370715,0.91872939452614,0.0410801193155058,5394.86,2333.9,1960.37,436.963,1176.64,135357,2097158,0,0,875943868,2,3,1.86824379682752,0.951668626459053,-0.0902947888100272,2.2199904808793
"220",219,1.71091697981952,10742,275,9214832,275,43484,9113539,0.0342092147342239,17465,17465,0,15189,1133,1,0,0.869682221586029,0.0648726023475523,13775.6,2701.69,1938.34,294.026,1928.41,188529,483,0,0,3776138725,5,24,1.65319470969487,1.03491559087756,0.0577222701246485,2.36800753981398
"221",220,3.10425191193361,6,494,88747589,494,38117870,8500,3.49132837413003e-05,29660,29660,0,28977,474,1,0,0.976972353337829,0.0159811193526635,10604.5,4255.47,2466.1,613.33,2937.78,192495,781548,0,0,3590897044,18,72,3.10596848032292,0.999447332321565,-0.00171656838931344,2.30856870130002
"222",221,1.47451662614167,10359,2327,208696187,2327,541094,2707176,0.00114444026495615,30609,30609,0,22721,6231,1,0,0.742298016923127,0.203567578163285,29455.3,2088,1527.5,328.229,7063.89,296793,81476,0,0,5100805004,18,92,1.28309183794371,1.14919024697775,0.191424788197962,2.50171005788729
"223",222,1.37319102646221,1576,7048,183350851,7047,1791079,158004,6.24538943820644e-05,24211,24211,0,17750,5118,1,0,0.733137829912023,0.211391516252943,28179.3,1913.54,1499.24,321.587,6436.03,285867,347327,0,0,2173464998,13,44,1.23915539925858,1.10816692344142,0.134035627203625,2.44432089689296
"224",223,1.76928404666822,13519,1665,189477455,1664,339999,2285458,0.000923675502787175,36397,36397,0,29563,5289,1,0,0.812237272302662,0.14531417424513,30633.3,2435.78,1605.96,373.453,7953.8,298344,16,0,0,2066873005,22,67,1.57525603293522,1.12317236669868,0.194028013733001,2.50431328342233
"225",224,2.56430075664115,447,725,29663535,725,1861574,443180,0.0013615083076461,29165,29165,0,27718,1173,1,0,0.95038573632779,0.0402194411109206,15453.6,3646.5,2071.07,535.844,3080.16,186872,8418690,0,0,6288036501,37,140,2.33577622586139,1.0978366541493,0.228524530779755,2.53880980046909
"226",225,2.71507714359899,144,7,89049450,7,25000043,1723750,0.00998680600258402,23947,23947,0,23372,273,1,0,0.975988641583497,0.0114001753873137,9746.78,4094.87,2487.67,605.836,2357.13,205888,4472,0,0,1319685101,11,39,3.06945964529804,0.884545639086047,-0.354382501699055,1.95590276799028
"227",226,2.9774514644044,4987,222,8532720,222,96617,444951,0.00248063199146952,23842,23842,0,23345,261,1,0,0.979154433352907,0.0109470681989766,12981.6,3296.52,2305.21,371.832,2283.39,192603,0,0,0,2169407426,10,49,3.18943334470041,0.933536193616262,-0.211981880296007,2.09830338939332
"228",227,2.11226965071237,156,742,6790317,742,2330419,7789591,0.0251497264587952,28473,28473,0,27396,745,1,0,0.962174691813297,0.0261651389035226,9958.86,2511.11,1994.28,353.501,2107.09,193023,1777216,0,0,2979079610,15,92,2.62514831288109,0.804628691014475,-0.512878662168723,1.79740660752061
"229",228,2.37487546772062,0,299,11590999,299,11590999,0,0,25688,25688,0,24648,554,1,0,0.959514170040486,0.021566490189972,6626.71,2824.63,2219.09,483.457,2001.41,139222,2132676,0,0,472708424,3,10,2.55315786559409,0.930171807910519,-0.178282397873473,2.13200287181586
"230",229,3.27933496877585,4956,4727,15222711,4727,781044,3035291,0.0119122257914483,28292,28292,0,27821,314,1,0,0.983352184363071,0.0110985437579528,17150.2,4031.79,2197.22,476.196,3135.54,202726,78135,0,0,1256610072,4,8,3.35990927386685,0.976018904522898,-0.0805743050910017,2.22971096459833
"231",230,1.81814513900782,2170,4057,14248853,4056,424948,1085000,0.0023083289335201,24854,24854,0,23073,1008,1,0,0.928341514444355,0.0405568520157721,14122.7,2821.62,1832.88,357.175,2469.35,188375,369866,0,0,4198053226,28,260,1.97087701514952,0.922505628221497,-0.152731876141703,2.15755339354763
"232",231,1.96134419347048,112,25,27481583,24,3929594,11200,7.13536560055661e-05,20617,20617,0,18249,1623,1,0,0.885143328321288,0.0787214434689819,6810.98,2875.79,2045.26,437.97,1300.63,200969,154,0,0,357743548,3,3,1.68396018816031,1.16472123703423,0.277384005310169,2.5876692749995
"233",232,2.23188189367244,35602,50,89928525,49,255022,17801000,0.0041846515629718,46035,46035,0,38272,6588,1,0,0.831367437819051,0.143108504398827,61204.5,3296.14,1904.29,403.841,13710.1,106138,209645,0,0,6553619131,19,137,1.61075801911447,1.38560967394683,0.621123874557968,2.9314091442473
"234",233,1.95626313194567,3952,57,201550677,56,2875282,26165474,0.0456456789409805,24531,24531,0,22373,1605,1,0,0.912029676735559,0.0654274183685948,19131.8,2741.85,2008.25,496.956,6396.76,193558,224236,0,0,2810421482,13,46,1.81254881526818,1.07928852203422,0.14371431667749,2.45399958636682
"235",234,2.08220082000231,2506,5892,81886338,5891,350910,305505,0.000535354926621652,23950,23950,0,22123,1233,1,0,0.923716075156576,0.051482254697286,16334.8,2682.43,2068.27,433.898,4375.53,174787,1287948,0,0,1058748134,4,21,1.91787503331954,1.08568117516935,0.164325786682775,2.47461105637211
"236",235,1.98661524302168,33,91,24551875,91,6375862,3287,2.19874352409996e-05,22853,22853,0,22067,409,1,0,0.965606266135737,0.0178969938301317,5874.02,2608.19,2039.71,481.346,1411.49,143369,16,0,0,261060532,3,4,2.72418032705601,0.729252473961072,-0.737565084034331,1.572720185655
"237",236,2.37055619353554,14,104,25621868,104,10765947,1394,9.49587904053911e-06,24461,24461,0,23895,322,1,0,0.97686112587384,0.0131638117820204,6116.48,2873.84,2244.65,487.469,1560.66,143378,9,0,0,908450635,5,16,3.10180593919903,0.764250323844465,-0.731249745663487,1.57903552402584
"238",237,2.5608072437136,11,54,25180761,53,18744361,1098,7.42397941429224e-06,25398,25385,13,24885,249,0.999488148673124,0.000511851326876132,0.979801559177888,0.00980392156862745,6101.11,3190.75,2353.12,545.5,1642.38,142721,2174796,0,0,6304155362,39,203,3.21485381159374,0.796554802734278,-0.654046567880146,1.65623870180919
"239",238,2.52546117367795,2,95,23399903,95,22319025,999,7.58751907038233e-06,26225,26225,0,25925,174,1,0,0.988560533841754,0.00663489037178265,5888.62,3080.36,2238.31,513.999,1507.36,143558,120082,0,0,6172327162,72,134,3.59042112241514,0.703388568519552,-1.06495994873719,1.24532532095214
"240",239,1.94160713836686,1699,290,186194774,289,794805,169900,0.000299988976508663,25920,25920,0,24362,1086,1,0,0.939891975308642,0.0418981481481481,19620.5,3071,2054.99,585.201,6599.34,204785,224282,0,0,6285230140,4,136,2.13670627159512,0.908691645725075,-0.195099133228261,2.11518613646107
"241",240,2.57871454794665,98,219,26227205,219,9421447,3856680,0.0102001178175655,30910,30876,34,28912,1728,0.99890003235199,0.00109996764801035,0.935360724684568,0.0559042381106438,16840.1,3646.25,2062.52,484.556,3336.17,208247,468485,0,0,5534755161,17,174,2.06554646588968,1.24844180004246,0.51316808205697,2.8234533517463
"242",241,2.6370269304725,17,102,95710210,101,23935993,1700,6.61933612902422e-06,25532,25532,0,24635,567,1,0,0.964867617107943,0.0222074259752468,10476.9,3907.6,2395.75,586.284,2922.41,194576,252,0,0,2154283600,9,67,2.70226130624278,0.975859338392042,-0.0652343757702853,2.24505089391905
"243",242,2.73413494733234,271,1328,50316797,1327,2729089,27100,9.20579597322111e-05,28438,28438,0,27310,786,1,0,0.96033476334482,0.0276390744778114,10619.8,3923.99,2410.32,570.5,2910.23,193021,5,0,0,1681970284,22,52,2.57492669149153,1.06183020913446,0.159208255840812,2.46949352553014
"244",243,2.6474444806885,1923,524,21793880,523,4121416,961500,0.000956657355503545,38519,38506,13,35587,2207,0.999662504218697,0.000337495781302734,0.92388172070926,0.0572963991796256,29479.2,3230.67,2044.76,360.59,5476.91,97406,144759,0,0,5645277427,40,104,1.91965346984928,1.37912624453848,0.72779101083922,3.03807628052855
"245",244,2.49320258149111,0,139,26427416,139,26427416,0,0,25915,25915,0,25077,608,1,0,0.967663515338607,0.023461315840247,6670.99,3053.27,2352.74,523.396,1869.93,144012,57863,0,0,5807742756,55,303,2.78701326944861,0.894578654799291,-0.293810687957499,2.01647458173183
"246",245,1.95919789712785,42,66,8158176,66,3940764,4200,1.71307256523994e-05,21503,21503,0,20731,472,1,0,0.964098032832628,0.0219504255220202,9988.01,2706.49,1936.17,307.051,1485.79,215063,19684,0,0,4371890032,36,57,2.6797788190541,0.731104329654864,-0.720580921926249,1.58970434776308
