	ASR	num_gaps	scaffold_count	scaffold_N50	contig_count	contig_N50	gap_length	gap_length_per	CDSs	CDSs_model	CDSs_known	CDSs_fully_supported	CDSs_ab_initio	CDSs_model_per	CDSs_known_per	CDSs_fully_supported_per	CDSs_ab_initio_per	Length_mean_genes	Length_mean_transcripts	Length_mean_cds	Length_mean_exons	Length_mean_introns	Num_proteins	Num_transcripts	Num_proteins_hsapiens	Num_transcripts_hsapiens	Num_rnaseq_reads	Num_tissues	Num_runs
0	5.327876867692356	347	102	106145001	21254	59462871	73600614	0.02697749737123617	97829	48540	48799	97048	155	0.49617189177033394	0.4988193684899161	0.9920166821699087	0.001584397264614787	33074.6	3812.84	2051.09	482.807	6519.53	0	0	0	0	0	0	0
1	3.703144183683351	506	706	88231837	1307	48231277	29864641	0.011936725339880288	63699	59448	4114	61895	918	0.933264258465596	0.06458500133440086	0.9716793042276959	0.014411529223378704	50935.6	4056.51	2084.54	439.112	7640.43	58148	3619303	47060	0	12069331098	42	433
2	3.540079129468253	43306	7678	108171978	50982	210702	101087183	0.0406395479761239	59172	58994	16	57173	889	0.9969918204556208	0.0002703981612925032	0.9662171297235179	0.01502399783681471	44967.6	3343.34	2119.73	344.445	6754.2	208276	8993166	174117	8993046	3364726994	11	17
3	2.008855081000591	253738	32	106310653	253769	28375	198136445	0.07409835659790973	36106	35979	0	32654	1591	0.9964825790727303	0.0	0.9043926217249211	0.04406469838807955	43555.6	3003.89	1820.67	308.562	5542.66	81967	1989647	45075	344947	8324786874	198	264
4	2.229472468444985	180677	6450	17270019	187012	21250	183019268	0.08001398679112438	37971	37783	12	35170	1205	0.9950488530720814	0.0003160306549735324	0.9262331779515947	0.031734744936925546	41982.8	3094.37	2002.99	279.875	5402.2	104813	8780884	51802	0	670954419	10	45
5	1.8052603790310653	25787	8094	150810825	8094	181061	42905630	0.017733677934134502	34558	34516	0	31467	1546	0.998784651889577	0.0	0.9105561664448174	0.04473638520747728	40470.6	2280.31	1735.25	234.859	5240.15	71161	758492	62812	0	403656856	1	1
6	3.620577756184959	386	1958	103308737	1957	26402946	28162	1.016426934711753e-05	65084	50772	14167	63967	598	0.7800995636408334	0.21767254624792576	0.9828375637637514	0.009188126113945056	39904.9	3932.2	2053.02	482.419	6987.83	98483	3319583	67352	0	8524329442	95	203
7	2.9063350587517385	121387	12169	122182240	133554	42877	104912766	0.04202856049861812	51779	51712	24	49170	1462	0.9987060391278317	0.0004635083721199714	0.9496127773807914	0.02823538500164159	42906.8	2953.82	1911.76	314.058	6554.51	254677	100392	166881	0	1697796066	4	9
8	3.716272784491794	6286	4701	87230776	4700	1502753	9435464	0.003763698228017747	61026	58838	1912	59602	648	0.9641464293907515	0.03133090813751516	0.9766656834791728	0.010618424933634844	39826.4	3805.62	2229.31	416.092	6094.25	0	0	0	0	0	0	0
9	4.217887214731144	69	159	64250934	159	40716615	33679	1.4332325235107562e-05	74854	74728	0	73276	868	0.9983167232212039	0.0	0.9789189622465065	0.011595906698372833	39170.2	3409.91	2034.31	388.097	7298.66	65282	0	65282	0	9134207560	37	107
10	2.454285480543692	19800	15308	130230028	15307	310061	47192329	0.016331612633051756	52610	52434	0	51162	710	0.9966546283976431	0.0	0.9724767154533359	0.013495533168599127	47955.5	2847.54	1636.67	314.862	7121.27	215391	10539846	180592	9007415	88348496	1	2
11	3.909689304006012	244	2979	82346004	3267	46608966	34438797	0.011590358279542102	68172	62208	5768	67154	506	0.9125154022179194	0.08460951710379629	0.9850671830076865	0.007422402159244264	42085.5	3339.69	2093.71	374.472	7271.66	218406	12529703	182483	9014916	12841591966	45	442
12	3.2449651047558272	302	1250	104466507	1250	26764281	1636497	0.0006104161340451311	54287	54075	0	52345	953	0.9960948293329894	0.0	0.9642271630408753	0.017554847385193507	43582.9	3414.3	2153.18	340.255	6674.18	52406	2065320	52350	0	9731777244	26	244
13	2.5222020604914586	3367	647	274391693	647	2711962	2424778	0.0010245680645218245	84642	83488	339	76340	3688	0.9863661066609958	0.004005103849152903	0.9019163063254649	0.04357174924978143	29768.2	2852.82	1908.8	290.983	4350.29	96683	9034822	57871	0	4834348345	49	170
14	2.983466489107231	147442	8524	115033041	155965	30111	124546479	0.04957192641341424	54530	54219	15	52120	941	0.9942967174032643	0.0002750779387493123	0.9558041445076105	0.017256556024206858	35536.9	3030.69	2004.76	317.18	5951.02	118626	450288	62538	0	4257360031	37	117
15	2.4965818689347223	512	322	83338043	321	15146802	15158102	0.00815266462814383	38847	38469	278	36232	1461	0.990269518881767	0.007156279764203156	0.9326846345921178	0.03760908178237702	32139.5	2580.36	2086.15	256.725	5280.63	108191	10835	61492	0	2342784260	20	88
16	2.9526846628669423	155	134	88025743	134	31900497	7546091	0.0036353238690200376	48806	48673	0	47201	892	0.997274925214113	0.0	0.9671146990124165	0.018276441421136744	42496.8	3322.85	2068.38	312.188	5696.37	0	0	0	0	0	0	0
17	2.8199291122033463	876	77	171742863	77	6892556	15088836	0.007155064975583809	47220	46999	0	45485	946	0.9953197797543414	0.0	0.9632570944515036	0.02003388394747988	37162.8	3201.27	2049.21	323.134	5401.68	95248	360230	59396	0	5983967570	20	91
18	2.63620855502532	2291	1857	114273790	1856	3487364	1128377	0.00045587659034380143	48592	48177	0	46407	998	0.9914594995060916	0.0	0.9550337504115903	0.02053836022390517	37719.4	3149.49	2017.17	311.261	5663.91	116719	125071	60843	79065	7778617470	61	185
